region,latitude,longitude,available_for_hire_taxis,avg_rain_mm,total_taxi_records_from_api,taxi_api_timestamp,rain_api_timestamp,collection_time
Other,1.28,103.76,146,0.0,1882,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00
West,1.35,103.7,115,0.0,1882,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00
Central,1.3,103.83,719,0.0,1794,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00
East,1.35,103.95,387,0.0,1794,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00
North,1.42,103.82,224,0.0,1794,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00
Northeast,1.37,103.88,189,0.0,1794,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00
Other,1.28,103.76,155,0.0,1794,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00
West,1.35,103.7,120,0.0,1794,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00
Central,1.3,103.83,704,0.0,1798,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00
East,1.35,103.95,374,0.0,1798,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00
North,1.42,103.82,242,0.0,1798,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00
Northeast,1.37,103.88,198,0.0,1798,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00
Other,1.28,103.76,148,0.0,1798,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00
West,1.35,103.7,132,0.0,1798,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00
Central,1.3,103.83,683,0.0,1723,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00
East,1.35,103.95,383,0.0,1723,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00
North,1.42,103.82,214,0.0,1723,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00
Northeast,1.37,103.88,186,0.0,1723,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00
Other,1.28,103.76,136,0.0,1723,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00
West,1.35,103.7,121,0.0,1723,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00
Central,1.3,103.83,633,0.0,1711,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00
East,1.35,103.95,398,0.0,1711,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00
North,1.42,103.82,227,0.0,1711,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00
Northeast,1.37,103.88,173,0.0,1711,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00
Other,1.28,103.76,145,0.0,1711,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00
West,1.35,103.7,135,0.0,1711,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00
Central,1.3,103.83,673,0.0,1797,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00
East,1.35,103.95,391,0.0,1797,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00
North,1.42,103.82,259,0.0,1797,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00
Northeast,1.37,103.88,189,0.0,1797,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00
Other,1.28,103.76,152,0.0,1797,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00
West,1.35,103.7,133,0.0,1797,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00
Central,1.3,103.83,607,0.0,1719,2026-06-17T02:50:00+08:00,2026-06-17T02:50:00+08:00,2026-06-17T02:50:00
